,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,optimizer,mapping,ansatz,rotation blocks,entanglement_blocks,entanglement,repetitions,skip_final_rotation_layer,energy (Ha),error (mHa),# of parameters,final parameters,# of evaluations,# of qubits,# of CNOTs
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COBYLA,JordanWignerMapper,UCCSD,,,,,,-1.6970070222308042,6.622093318142674e-06,3,[5.81156750e-05 9.96644190e-05 3.23006353e-02],44,4,56
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,L_BFGS_B,JordanWignerMapper,UCCSD,,,,,,-1.697007028852748,1.4943601911454607e-10,3,[2.66882897e-07 2.78369291e-07 3.22966447e-02],28,4,56
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,,SPSA,JordanWignerMapper,UCCSD,,,,,,-1.6968138355380866,0.1931933148109355,3,[-9.41696931  0.01304224  3.16588552],1000,4,56
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,,,,SLSQP,JordanWignerMapper,UCCSD,,,,,,-1.697006965216702,6.363619564631051e-05,3,[-0.00021893 -0.00021893  0.0321827 ],13,4,56
4,4.0,4.0,4.0,4.0,4.0,4.0,0.0,,,,,COBYLA,JordanWignerMapper,PUCCD,,,,,,-1.697007006780066,2.207283156252516e-05,1,[0.03216094],22,4,48
5,5.0,5.0,5.0,5.0,5.0,0.0,,,,,,L_BFGS_B,JordanWignerMapper,PUCCD,,,,,,-1.697007028849845,3.0528912731142555e-09,1,[0.0322985],8,4,48
6,6.0,6.0,6.0,6.0,0.0,,,,,,,SPSA,JordanWignerMapper,PUCCD,,,,,,-1.6970070288529011,-3.552713678800501e-12,1,[-28.24203698],1000,4,48
7,7.0,7.0,7.0,0.0,,,,,,,,SLSQP,JordanWignerMapper,PUCCD,,,,,,-1.697007028852532,3.654854197066015e-10,1,[0.03229746],5,4,48
8,8.0,8.0,0.0,,,,,,,,,COBYLA,JordanWignerMapper,SUCCD,,,,,,-1.697007006780066,2.207283156252516e-05,1,[0.03216094],22,4,48
9,9.0,0.0,,,,,,,,,,L_BFGS_B,JordanWignerMapper,SUCCD,,,,,,-1.697007028849845,3.0528912731142555e-09,1,[0.0322985],8,4,48
10,0.0,,,,,,,,,,,SPSA,JordanWignerMapper,SUCCD,,,,,,-1.6970070288529011,-3.552713678800501e-12,1,[-28.24203698],1000,4,48
0,,,,,,,,,,,,SLSQP,JordanWignerMapper,SUCCD,,,,,,-1.697007028852532,3.6548541970660153e-10,1,[0.03229746],5,4,48
